# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
0.1           	1.0000000e+00	1.0000000e+00	0.0000000e+00	0.0000000e+00
0.2           	5.7540180e-01	2.8286200e-01	3.3360440e-01	3.3360440e-01
0.3           	2.1163110e-01	1.5802370e-02	1.7502380e-02	1.7502370e-02
0.4           	1.0117390e-01	1.1444890e-02	1.5116500e-02	1.5116490e-02
0.5           	6.9659420e-02	1.0661920e-02	1.4672890e-02	1.4672890e-02
0.6           	5.2093540e-02	1.0420040e-02	1.4498540e-02	1.4498540e-02
0.7           	4.3142810e-02	1.0281580e-02	1.4390270e-02	1.4390270e-02
0.8           	3.8031470e-02	1.0234550e-02	1.4330350e-02	1.4330350e-02
0.9           	3.5230690e-02	1.0246150e-02	1.4296800e-02	1.4296800e-02
1             	3.4185940e-02	1.0266360e-02	1.4294040e-02	1.4294040e-02
1.1           	3.3530730e-02	1.0280480e-02	1.4252720e-02	1.4252720e-02
1.2           	3.3241790e-02	1.0263200e-02	1.4167890e-02	1.4167890e-02
1.3           	3.3300600e-02	1.0237570e-02	1.4065610e-02	1.4065610e-02
1.4           	3.3220890e-02	1.0181870e-02	1.3929170e-02	1.3929170e-02
1.5           	3.2462320e-02	1.0101410e-02	1.3781540e-02	1.3781540e-02
1.6           	3.1367500e-02	1.0019160e-02	1.3630290e-02	1.3630290e-02
1.7           	3.0915520e-02	9.9253990e-03	1.3463460e-02	1.3463460e-02
1.8           	3.0364910e-02	9.8424800e-03	1.3294690e-02	1.3294690e-02
1.9           	2.9172770e-02	9.7680770e-03	1.3117300e-02	1.3117300e-02
2             	2.8451270e-02	9.7003760e-03	1.2940970e-02	1.2940970e-02
2.1           	2.7820340e-02	9.6226860e-03	1.2767880e-02	1.2767880e-02
2.2           	2.7060660e-02	9.5441010e-03	1.2614120e-02	1.2614120e-02
2.3           	2.6154960e-02	9.4797930e-03	1.2481310e-02	1.2481310e-02
2.4           	2.5163190e-02	9.4033810e-03	1.2367720e-02	1.2367720e-02
2.5           	2.4525440e-02	9.3222620e-03	1.2260530e-02	1.2260530e-02
2.6           	2.4644010e-02	9.2469770e-03	1.2169130e-02	1.2169130e-02
2.7           	2.4407950e-02	9.1567570e-03	1.2087480e-02	1.2087480e-02
2.8           	2.4017190e-02	9.0736710e-03	1.2009980e-02	1.2009980e-02
2.9           	2.4137830e-02	8.9926910e-03	1.1933230e-02	1.1933230e-02
3             	2.4189530e-02	8.9090110e-03	1.1850150e-02	1.1850150e-02
3.1           	2.3987950e-02	8.8214190e-03	1.1765180e-02	1.1765180e-02
3.2           	2.3678250e-02	8.7307050e-03	1.1686520e-02	1.1686520e-02
3.3           	2.3659750e-02	8.6456550e-03	1.1611490e-02	1.1611490e-02
3.4           	2.3343560e-02	8.5664260e-03	1.1531780e-02	1.1531780e-02
3.5           	2.3112510e-02	8.4994480e-03	1.1456110e-02	1.1456110e-02
3.6           	2.3051730e-02	8.4226440e-03	1.1383340e-02	1.1383340e-02
3.7           	2.3023970e-02	8.3461180e-03	1.1311350e-02	1.1311350e-02
3.8           	2.3021160e-02	8.2796440e-03	1.1235530e-02	1.1235530e-02
3.9           	2.3176130e-02	8.2127780e-03	1.1179810e-02	1.1179810e-02
4             	2.3221850e-02	8.1483740e-03	1.1133950e-02	1.1133950e-02
4.1           	2.2999080e-02	8.0967350e-03	1.1098330e-02	1.1098330e-02
4.2           	2.3068530e-02	8.0457400e-03	1.1066540e-02	1.1066540e-02
4.3           	2.2881720e-02	7.9902170e-03	1.1026620e-02	1.1026620e-02
4.4           	2.2687910e-02	7.9421270e-03	1.0983050e-02	1.0983050e-02
4.5           	2.2678580e-02	7.8910690e-03	1.0929170e-02	1.0929170e-02
4.6           	2.2946430e-02	7.8406470e-03	1.0863000e-02	1.0863000e-02
4.7           	2.2782420e-02	7.7825510e-03	1.0799340e-02	1.0799340e-02
4.8           	2.2734740e-02	7.7231520e-03	1.0745060e-02	1.0745060e-02
4.9           	2.2306160e-02	7.6712100e-03	1.0697870e-02	1.0697870e-02
5             	2.2246270e-02	7.6262230e-03	1.0654040e-02	1.0654040e-02
5.1           	2.2168140e-02	7.5887340e-03	1.0613340e-02	1.0613340e-02
5.2           	2.1942670e-02	7.5530490e-03	1.0568530e-02	1.0568530e-02
5.3           	2.1930790e-02	7.5132530e-03	1.0518880e-02	1.0518880e-02
5.4           	2.1721120e-02	7.4678590e-03	1.0467130e-02	1.0467130e-02
5.5           	2.1720490e-02	7.4215160e-03	1.0421330e-02	1.0421330e-02
5.6           	2.1443770e-02	7.3705890e-03	1.0384660e-02	1.0384660e-02
5.7           	2.1313230e-02	7.3206570e-03	1.0350290e-02	1.0350290e-02
5.8           	2.0984640e-02	7.2708750e-03	1.0311140e-02	1.0311140e-02
5.9           	2.1124240e-02	7.2279260e-03	1.0270810e-02	1.0270810e-02
6             	2.1098100e-02	7.1848430e-03	1.0228510e-02	1.0228510e-02
6.1           	2.1046750e-02	7.1414520e-03	1.0184100e-02	1.0184100e-02
6.2           	2.1051250e-02	7.0998770e-03	1.0144970e-02	1.0144970e-02
6.3           	2.0721210e-02	7.0564760e-03	1.0104230e-02	1.0104230e-02
6.4           	2.0701240e-02	7.0092850e-03	1.0070150e-02	1.0070140e-02
6.5           	2.0623210e-02	6.9649150e-03	1.0036510e-02	1.0036520e-02
6.6           	2.0675570e-02	6.9197270e-03	9.9985300e-03	9.9985160e-03
6.7           	2.0415930e-02	6.8790280e-03	9.9599020e-03	9.9599160e-03
6.8           	2.0392750e-02	6.8379250e-03	9.9167050e-03	9.9166970e-03
6.9           	2.0285390e-02	6.7999900e-03	9.8720840e-03	9.8720950e-03
7             	2.0138190e-02	6.7652230e-03	9.8270290e-03	9.8270280e-03
7.1           	2.0146010e-02	6.7323380e-03	9.7863380e-03	9.7863260e-03
7.2           	2.0183880e-02	6.7008830e-03	9.7513510e-03	9.7513700e-03
7.3           	2.0168130e-02	6.6640450e-03	9.7141860e-03	9.7141490e-03
7.4           	1.9990260e-02	6.6289930e-03	9.6757450e-03	9.6757760e-03
7.5           	2.0059300e-02	6.5980350e-03	9.6400860e-03	9.6400570e-03
7.6           	2.0092690e-02	6.5647220e-03	9.6044170e-03	9.6044480e-03
7.7           	2.0163690e-02	6.5350120e-03	9.5663650e-03	9.5663580e-03
7.8           	1.9953540e-02	6.5050310e-03	9.5275660e-03	9.5275660e-03
7.9           	1.9912130e-02	6.4762630e-03	9.4899490e-03	9.4899990e-03
8             	1.9882120e-02	6.4471780e-03	9.4534390e-03	9.4533890e-03
8.1           	1.9895650e-02	6.4194330e-03	9.4169230e-03	9.4169730e-03
8.2           	1.9740710e-02	6.3946470e-03	9.3775430e-03	9.3774780e-03
8.3           	1.9824860e-02	6.3727640e-03	9.3410950e-03	9.3411690e-03
8.4           	1.9595740e-02	6.3507530e-03	9.3089240e-03	9.3088490e-03
8.5           	1.9858810e-02	6.3330790e-03	9.2779540e-03	9.2780500e-03
8.6           	1.9821860e-02	6.3127030e-03	9.2455570e-03	9.2454280e-03
8.7           	1.9839020e-02	6.2901930e-03	9.2123410e-03	9.2124830e-03
8.8           	1.9768360e-02	6.2687120e-03	9.1817390e-03	9.1815850e-03
8.9           	1.9747060e-02	6.2439480e-03	9.1487510e-03	9.1489290e-03
9             	1.9553660e-02	6.2194780e-03	9.1207490e-03	9.1206060e-03
9.1           	1.9733120e-02	6.1987990e-03	9.0920860e-03	9.0921810e-03
9.2           	1.9882160e-02	6.1795980e-03	9.0611720e-03	9.0611320e-03
9.3           	1.9758730e-02	6.1599160e-03	9.0288140e-03	9.0288000e-03
9.4           	1.9841800e-02	6.1406880e-03	8.9977560e-03	8.9978120e-03
9.5           	1.9545740e-02	6.1233930e-03	8.9671880e-03	8.9670960e-03
9.6           	1.9755770e-02	6.1095650e-03	8.9407950e-03	8.9409120e-03
9.7           	1.9930100e-02	6.0942030e-03	8.9188720e-03	8.9187580e-03
9.8           	1.9912160e-02	6.0766070e-03	8.8981510e-03	8.8982470e-03
9.9           	1.9860970e-02	6.0611890e-03	8.8821370e-03	8.8820420e-03
10            	2.0019600e-02	6.0454260e-03	8.8626320e-03	8.8627090e-03
10.1          	2.0246560e-02	6.0308480e-03	8.8431410e-03	8.8430720e-03
10.2          	2.0219770e-02	6.0151800e-03	8.8283770e-03	8.8284390e-03
10.3          	2.0512740e-02	5.9999950e-03	8.8120600e-03	8.8119930e-03
10.4          	2.0501720e-02	5.9852210e-03	8.7953650e-03	8.7954280e-03
10.5          	2.0503710e-02	5.9729260e-03	8.7819750e-03	8.7819110e-03
